,SECID,SECNAME,SHORTNAME,COUPONVALUE,COUPONPERCENT,MATDATE,NEXTCOUPON,STATUS,FACEVALUE,DELTA
1522,RU000A103RL9,ПетроИнжиниринг 001P-01,iПетрИнжP1,24.31,9.75,2026-09-18,2023-03-24,A,1000.0,3 years 8 months
206,RU000A0JWCM0,"""Трубная Мет.Комп."" ОАО БО-05",ТМК БО-5,48.62,9.75,2026-04-01,2023-04-05,A,1000.0,3 years 3 months
1235,RU000A102KG6,ГК Пионер БО 001P-05,Пионер 1P5,24.31,9.75,2024-12-17,2023-03-21,A,1000.0,1 years 11 months
1834,RU000A105A61,ГМК Нор.никель БО-001Р-02,НорНикБ1P2,48.62,9.75,2027-10-05,2023-04-11,A,1000.0,4 years 9 months
1754,RU000A104XU6,ХК Финанс ООО БО 001Р-08,ХКФинБ1P8,24.31,9.75,2025-07-04,2023-01-06,A,1000.0,2 years 6 months
1026,RU000A102192,Концерн РОССИУМ ООО 002P-01,РОССИУМ2P1,48.62,9.75,2030-08-05,2023-02-13,A,1000.0,7 years 7 months
1132,RU000A102B97,Вита Лайн 001Р-02,ВитаЛ 1Р02,24.31,9.75,2025-10-28,2023-01-31,A,1000.0,2 years 10 months
1159,RU000A102DK3,MT-FREE-02,iMT-FREE02,48.62,9.75,2024-05-21,2023-05-23,A,1000.0,1 years 4 months
1484,RU000A103M36,ТрансФин-М ПАО 001P-07,ТрансФ1P07,24.43,9.8,2031-08-18,2023-02-27,A,1000.0,8 years 7 months
1385,RU000A1034M4,ВсеИнструменты.ру ООО БО-04,ВсИнстрБО4,24.43,9.8,2024-05-20,2023-02-20,A,1000.0,1 years 4 months
12,RU000A0JS4J1,Запад.скор.диаметр АО об.03,ЗСД 03,49.07,9.84,2032-02-06,2023-02-17,A,1000.0,9 years 1 months
13,RU000A0JS4K9,Запад.скор.диаметр АО об.04,ЗСД 04,49.07,9.84,2032-02-06,2023-02-17,A,1000.0,9 years 1 months
14,RU000A0JS4L7,Запад.скор.диаметр АО об.05,ЗСД 05,49.07,9.84,2032-02-06,2023-02-17,A,1000.0,9 years 1 months
127,RU000A0JV3R1,"""Россельхозбанк"" (АО) БО-15",РСХБ БО15,24.56,9.85,2024-12-13,2023-03-17,A,1000.0,1 years 11 months
218,RU000A0JWHU2,"""Российские ЖД"" ОАО БО-17",РЖД БО-17,49.12,9.85,2041-04-26,2023-05-19,A,1000.0,18 years 4 months
302,RU000A0JXPG2,ГосТранспортЛизингКомп 001P-04,ГТЛК 1P-04,24.56,9.85,2032-04-06,2023-01-17,A,1000.0,9 years 3 months
1607,RU000A1041B2,ГК Сегежа 002P-01R,Сегежа2P1R,49.12,9.85,2036-10-29,2023-05-17,A,1000.0,13 years 10 months
1708,RU000A104KG2,Банк ВТБ (ПАО) Б-1-130,ВТБ Б1-130,8.41,9.9,2023-02-21,2023-01-21,A,1000.0,1 months
1843,RU000A105B03,СОПФ Инфраструктурные обл 3,ИнфрОблP3,49.09,9.9,2025-11-15,2023-05-15,A,1000.0,2 years 10 months
224,RU000A0JWK90,Транснефть ПАО БО-001P-01,ТрнфБО1P1,49.36,9.9,2023-06-02,2023-06-02,A,1000.0,5 months
20,RU000A0JSGV0,"""Российские ЖД"" ОАО 32 обл.",РЖД-32 обл,49.36,9.9,2032-06-25,2023-01-06,A,1000.0,9 years 6 months
